axis,technique,N,mean_bias_cm,std,shapiro_W,shapiro_p,shapiro_sig,t,p_raw,df,p_holm,sig_holm,p_bonf,sig_bonf
Scene X,object,702,0.569,2.783,0.996,0.053,,5.413,0.0,701,0.0,***,0.0,***
Scene X,cube,740,1.182,3.422,0.986,0.0,***,9.391,0.0,739,0.0,***,0.0,***
Scene X,fixed,741,1.259,3.789,0.985,0.0,***,9.038,0.0,740,0.0,***,0.0,***
Scene X,laser,749,1.669,5.207,0.986,0.0,***,8.765,0.0,748,0.0,***,0.0,***
Scene Y,object,702,-0.42,1.524,0.963,0.0,***,-7.291,0.0,701,0.0,***,0.0,***
Scene Y,cube,740,0.292,2.46,0.933,0.0,***,3.222,0.001,739,0.011,*,0.027,*
Scene Y,fixed,741,1.658,2.82,0.841,0.0,***,15.997,0.0,740,0.0,***,0.0,***
Scene Y,laser,749,-0.033,1.009,0.935,0.0,***,-0.883,0.377,748,0.772,,1.0,
Scene Z,object,702,-0.369,2.62,0.967,0.0,***,-3.733,0.0,701,0.002,**,0.004,**
Scene Z,cube,740,-0.855,3.49,0.986,0.0,***,-6.662,0.0,739,0.0,***,0.0,***
Scene Z,fixed,741,-0.152,3.259,0.968,0.0,***,-1.267,0.205,740,0.772,,1.0,
Scene Z,laser,749,-0.296,4.072,0.99,0.0,***,-1.991,0.047,748,0.234,,0.937,
Egocentric LR,object,702,-0.319,2.815,0.98,0.0,***,-2.997,0.003,701,0.02,*,0.056,
Egocentric LR,cube,740,-0.18,3.745,0.988,0.0,***,-1.303,0.193,739,0.772,,1.0,
Egocentric LR,fixed,741,0.043,2.98,0.996,0.046,*,0.389,0.697,740,0.772,,1.0,
Egocentric LR,laser,749,0.299,3.92,0.976,0.0,***,2.083,0.038,748,0.226,,0.752,
Egocentric FB,object,702,-0.453,2.615,0.995,0.019,*,-4.585,0.0,701,0.0,***,0.0,***
Egocentric FB,cube,740,-0.871,3.346,0.983,0.0,***,-7.078,0.0,739,0.0,***,0.0,***
Egocentric FB,fixed,741,-2.419,3.443,0.982,0.0,***,-19.118,0.0,740,0.0,***,0.0,***
Egocentric FB,laser,749,-2.535,4.968,0.992,0.0,***,-13.955,0.0,748,0.0,***,0.0,***
