axis,technique1,technique2,N1,mean1_cm,std1,shapiro1_W,shapiro1_p,shapiro1_sig,N2,mean2_cm,std2,shapiro2_W,shapiro2_p,shapiro2_sig,N_test,t,p_raw,df,p_holm,sig_holm,p_bonf,sig_bonf
Scene X,object,cube,749,0.569,2.783,0.996,0.053,,749,1.182,3.422,0.996,0.053,,702,-3.779,0.0,701,0.003,**,0.005,**
Scene X,object,fixed,749,0.569,2.783,0.996,0.053,,749,1.259,3.789,0.996,0.053,,702,-4.063,0.0,701,0.001,**,0.002,**
Scene X,object,laser,749,0.569,2.783,0.996,0.053,,749,1.669,5.207,0.996,0.053,,702,-4.961,0.0,701,0.0,***,0.0,***
Scene X,cube,fixed,749,1.182,3.422,0.986,0.0,***,749,1.259,3.789,0.986,0.0,***,740,-0.43,0.667,739,1.0,,1.0,
Scene X,cube,laser,749,1.182,3.422,0.986,0.0,***,749,1.669,5.207,0.986,0.0,***,740,-2.13,0.033,739,0.335,,1.0,
Scene X,fixed,laser,749,1.259,3.789,0.985,0.0,***,749,1.669,5.207,0.985,0.0,***,741,-1.746,0.081,740,0.732,,1.0,
Scene Y,object,cube,749,-0.42,1.524,0.963,0.0,***,749,0.292,2.46,0.963,0.0,***,702,-6.762,0.0,701,0.0,***,0.0,***
Scene Y,object,fixed,749,-0.42,1.524,0.963,0.0,***,749,1.658,2.82,0.963,0.0,***,702,-16.821,0.0,701,0.0,***,0.0,***
Scene Y,object,laser,749,-0.42,1.524,0.963,0.0,***,749,-0.033,1.009,0.963,0.0,***,702,-5.845,0.0,701,0.0,***,0.0,***
Scene Y,cube,fixed,749,0.292,2.46,0.933,0.0,***,749,1.658,2.82,0.933,0.0,***,740,-10.196,0.0,739,0.0,***,0.0,***
Scene Y,cube,laser,749,0.292,2.46,0.933,0.0,***,749,-0.033,1.009,0.933,0.0,***,740,3.249,0.001,739,0.019,*,0.036,*
Scene Y,fixed,laser,749,1.658,2.82,0.841,0.0,***,749,-0.033,1.009,0.841,0.0,***,741,15.393,0.0,740,0.0,***,0.0,***
Scene Z,object,cube,749,-0.369,2.62,0.967,0.0,***,749,-0.855,3.49,0.967,0.0,***,702,2.721,0.007,701,0.08,,0.2,
Scene Z,object,fixed,749,-0.369,2.62,0.967,0.0,***,749,-0.152,3.259,0.967,0.0,***,702,-1.665,0.096,701,0.77,,1.0,
Scene Z,object,laser,749,-0.369,2.62,0.967,0.0,***,749,-0.296,4.072,0.967,0.0,***,702,-0.387,0.699,701,1.0,,1.0,
Scene Z,cube,fixed,749,-0.855,3.49,0.986,0.0,***,749,-0.152,3.259,0.986,0.0,***,740,-4.068,0.0,739,0.001,**,0.002,**
Scene Z,cube,laser,749,-0.855,3.49,0.986,0.0,***,749,-0.296,4.072,0.986,0.0,***,740,-2.895,0.004,739,0.055,,0.117,
Scene Z,fixed,laser,749,-0.152,3.259,0.968,0.0,***,749,-0.296,4.072,0.968,0.0,***,741,0.7,0.484,740,1.0,,1.0,
Egocentric LR,object,cube,749,-0.319,2.815,0.98,0.0,***,749,-0.18,3.745,0.98,0.0,***,702,-0.881,0.379,701,1.0,,1.0,
Egocentric LR,object,fixed,749,-0.319,2.815,0.98,0.0,***,749,0.043,2.98,0.98,0.0,***,702,-2.88,0.004,701,0.055,,0.123,
Egocentric LR,object,laser,749,-0.319,2.815,0.98,0.0,***,749,0.299,3.92,0.98,0.0,***,702,-3.895,0.0,701,0.002,**,0.003,**
Egocentric LR,cube,fixed,749,-0.18,3.745,0.988,0.0,***,749,0.043,2.98,0.988,0.0,***,740,-1.348,0.178,739,1.0,,1.0,
Egocentric LR,cube,laser,749,-0.18,3.745,0.988,0.0,***,749,0.299,3.92,0.988,0.0,***,740,-2.587,0.01,739,0.108,,0.296,
Egocentric LR,fixed,laser,749,0.043,2.98,0.996,0.046,*,749,0.299,3.92,0.996,0.046,*,741,-1.634,0.103,740,0.77,,1.0,
Egocentric FB,object,cube,749,-0.453,2.615,0.995,0.019,*,749,-0.871,3.346,0.995,0.019,*,702,3.034,0.002,701,0.037,*,0.075,
Egocentric FB,object,fixed,749,-0.453,2.615,0.995,0.019,*,749,-2.419,3.443,0.995,0.019,*,702,12.754,0.0,701,0.0,***,0.0,***
Egocentric FB,object,laser,749,-0.453,2.615,0.995,0.019,*,749,-2.535,4.968,0.995,0.019,*,702,10.114,0.0,701,0.0,***,0.0,***
Egocentric FB,cube,fixed,749,-0.871,3.346,0.983,0.0,***,749,-2.419,3.443,0.983,0.0,***,740,9.625,0.0,739,0.0,***,0.0,***
Egocentric FB,cube,laser,749,-0.871,3.346,0.983,0.0,***,749,-2.535,4.968,0.983,0.0,***,740,7.741,0.0,739,0.0,***,0.0,***
Egocentric FB,fixed,laser,749,-2.419,3.443,0.982,0.0,***,749,-2.535,4.968,0.982,0.0,***,741,0.666,0.506,740,1.0,,1.0,
